agent;autres;colloques;etude_terrain;total;statut
385;1,68420814;0;0;1,68420814;externes
386;0;16,74484316;31,09756588;47,84240904;externes
387;0;0,963339764;1,789059562;2,752399326;externes
388;0;0;28,4955216;28,4955216;doc_postdoc
389;0;1,276024995;2,369760704;3,645785699;externes
390;0;10,21607368;18,97270826;29,18878193;externes
391;0;0,594501025;1,104073332;1,698574357;externes
392;0;2,341936697;4,349311008;6,691247705;externes
393;0;0,606870485;1,127045186;1,733915671;externes
394;0;56,37013737;104,687398;161,0575353;externes
395;0;102,0298808;189,4840644;291,5139452;externes
396;0;0,594501025;1,104073332;1,698574357;externes
397;0;1,109233919;2,060005849;3,169239768;externes
398;0;0,617520759;1,146824267;1,764345027;externes
399;0;292,1670669;0;292,1670669;doc_postdoc
400;0;46,73919209;86,80135674;133,5405488;permanents
401;0;1,147624499;2,131302641;3,27892714;externes
402;0;300,4390213;557,9581824;858,3972038;externes
403;0;150,2239802;278,9873919;429,2113721;externes
404;0;25,21335261;46,8247977;72,0381503;externes
405;0;98,51482232;182,9560986;281,4709209;externes
406;0;134,3155352;249,4431368;383,758672;externes
